,id,Popular_Sum,Date
1685,998410421244542978,1190,2018-05-21
1686,998449970528247808,1896,2018-05-21
1687,998454539941367808,1841,2018-05-21
1688,998459709446176768,1624,2018-05-21
1689,998460106579701760,588,2018-05-21
1690,998460891355004928,981,2018-05-21
1691,998525148264198144,2102,2018-05-21
1692,998673550616621056,1781,2018-05-21
1693,998730620464316416,477,2018-05-22
1694,998738003668357120,5684,2018-05-22
1695,998738577344229377,1766,2018-05-22
1696,998739763543736320,3952,2018-05-22
1697,998739940073590784,966,2018-05-22
1698,998761472292352000,719,2018-05-22
1699,998762156752449537,725,2018-05-22
1700,998765102248542208,602,2018-05-22
1701,998777288559755264,5951,2018-05-22
1702,998778081492926465,1398,2018-05-22
1703,998778751767871488,723,2018-05-22
1704,998779781230379014,687,2018-05-22
1705,998780707164995585,765,2018-05-22
1706,998782142556467201,725,2018-05-22
1707,998786412970369024,159400,2018-05-22
1708,998797622461710337,11231,2018-05-22
1709,998950122225455105,2721,2018-05-22
1710,998953706673487873,665,2018-05-22
1711,998980096181628929,512,2018-05-22
1712,998981687743741952,429,2018-05-22
1713,998984720783323136,664,2018-05-22
1714,998987396870950912,1157,2018-05-22
1715,998988091556704256,365,2018-05-22
1716,998988641702526977,45594,2018-05-22
1717,998996397570441216,715,2018-05-22
1718,998996857979256832,322,2018-05-22
1719,999010167793504256,739,2018-05-22
1720,999010644572553216,10467,2018-05-22
1721,999020811930423297,850,2018-05-22
1722,999056071489548288,3989,2018-05-22
